Metric,Value
Total_Images,150
Top-1_Accuracy,0.0267
Top-5_Accuracy,0.0667
Macro_Precision,0.4
Macro_Recall,0.0267
Total_Time_Seconds,5683.69
Avg_Time_Per_Query_ms,37891.24

file_name,true_id,pred_top1_id,top_5_ids,is_top1_correct,is_top5_correct
1__M_Left_index_finger_CR.BMP,1,288,"288, 105, 358, 234, 245",False,False
1__M_Left_index_finger_Obl.BMP,1,369,"369, 205, 372, 147, 225",False,False
1__M_Left_index_finger_Zcut.BMP,1,108,"108, 341, 233, 242, 132",False,False
1__M_Left_little_finger_CR.BMP,1,141,"141, 217, 177, 279, 30",False,False
1__M_Left_little_finger_Obl.BMP,1,127,"127, 264, 109, 215, 225",False,False
1__M_Left_little_finger_Zcut.BMP,1,30,"30, 27, 318, 341, 274",False,False
1__M_Left_middle_finger_CR.BMP,1,174,"174, 306, 15, 171, 31",False,False
1__M_Left_middle_finger_Obl.BMP,1,127,"127, 331, 129, 271, 332",False,False
1__M_Left_middle_finger_Zcut.BMP,1,306,"306, 188, 317, 110, 135",False,False
1__M_Left_ring_finger_CR.BMP,1,165,"165, 221, 228, 267, 281",False,False
1__M_Left_ring_finger_Obl.BMP,1,26,"26, 355, 102, 224, 336",False,False
1__M_Left_ring_finger_Zcut.BMP,1,244,"244, 108, 172, 268, 2",False,False
1__M_Left_thumb_finger_CR.BMP,1,101,"101, 101, 101, 101, 113",False,False
1__M_Left_thumb_finger_Obl.BMP,1,330,"330, 165, 220, 248, 301",False,False
1__M_Left_thumb_finger_Zcut.BMP,1,352,"352, 159, 101, 219, 239",False,False
1__M_Right_index_finger_CR.BMP,1,244,"244, 29, 290, 19, 1",False,True
1__M_Right_index_finger_Obl.BMP,1,262,"262, 246, 296, 320, 118",False,False
1__M_Right_index_finger_Zcut.BMP,1,331,"331, 213, 216, 19, 249",False,False
1__M_Right_little_finger_CR.BMP,1,101,"101, 114, 117, 120, 122",False,False
1__M_Right_little_finger_Obl.BMP,1,12,"12, 113, 169, 176, 189",False,False
1__M_Right_little_finger_Zcut.BMP,1,101,"101, 114, 117, 120, 122",False,False
1__M_Right_middle_finger_CR.BMP,1,110,"110, 129, 177, 199, 218",False,False
1__M_Right_middle_finger_Obl.BMP,1,143,"143, 1, 338, 149, 161",False,True
1__M_Right_middle_finger_Zcut.BMP,1,199,"199, 228, 109, 122, 151",False,False
1__M_Right_ring_finger_CR.BMP,1,106,"106, 168, 168, 228, 296",False,False
1__M_Right_ring_finger_Obl.BMP,1,106,"106, 168, 141, 272, 319",False,False
1__M_Right_ring_finger_Zcut.BMP,1,142,"142, 234, 138, 159, 106",False,False
1__M_Right_thumb_finger_CR.BMP,1,180,"180, 101, 125, 144, 178",False,False
1__M_Right_thumb_finger_Obl.BMP,1,16,"16, 324, 315, 191, 227",False,False
1__M_Right_thumb_finger_Zcut.BMP,1,101,"101, 101, 101, 101, 113",False,False
2__F_Left_index_finger_CR.BMP,2,2,"2, 19, 190, 235, 248",True,True
2__F_Left_index_finger_Obl.BMP,2,240,"240, 368, 106, 222, 173",False,False
2__F_Left_index_finger_Zcut.BMP,2,2,"2, 19, 14, 275, 367",True,True
2__F_Left_little_finger_CR.BMP,2,246,"246, 262, 279, 300, 352",False,False
2__F_Left_little_finger_Obl.BMP,2,284,"284, 314, 332, 275, 182",False,False
2__F_Left_little_finger_Zcut.BMP,2,101,"101, 114, 117, 120, 122",False,False
2__F_Left_middle_finger_CR.BMP,2,235,"235, 247, 146, 357, 377",False,False
2__F_Left_middle_finger_Obl.BMP,2,20,"20, 321, 235, 247, 331",False,False
2__F_Left_middle_finger_Zcut.BMP,2,247,"247, 18, 235, 146, 234",False,False
2__F_Left_ring_finger_CR.BMP,2,268,"268, 273, 315, 315, 330",False,False
2__F_Left_ring_finger_Obl.BMP,2,166,"166, 228, 274, 357, 134",False,False
2__F_Left_ring_finger_Zcut.BMP,2,31,"31, 371, 197, 262, 321",False,False
2__F_Left_thumb_finger_CR.BMP,2,102,"102, 238, 125, 146, 222",False,False
2__F_Left_thumb_finger_Obl.BMP,2,219,"219, 269, 295, 326, 138",False,False
2__F_Left_thumb_finger_Zcut.BMP,2,207,"207, 2, 100, 125, 17",False,True
2__F_Right_index_finger_CR.BMP,2,240,"240, 162, 311, 158, 118",False,False
2__F_Right_index_finger_Obl.BMP,2,271,"271, 358, 122, 163, 274",False,False
2__F_Right_index_finger_Zcut.BMP,2,141,"141, 358, 158, 31, 118",False,False
2__F_Right_little_finger_CR.BMP,2,15,"15, 196, 208, 24, 255",False,False
2__F_Right_little_finger_Obl.BMP,2,245,"245, 224, 107, 166, 170",False,False
2__F_Right_little_finger_Zcut.BMP,2,114,"114, 163, 185, 239, 24",False,False
2__F_Right_middle_finger_CR.BMP,2,105,"105, 264, 121, 168, 179",False,False
2__F_Right_middle_finger_Obl.BMP,2,219,"219, 221, 127, 203, 244",False,False
2__F_Right_middle_finger_Zcut.BMP,2,168,"168, 103, 106, 240, 264",False,False
2__F_Right_ring_finger_CR.BMP,2,271,"271, 285, 328, 134, 140",False,False
2__F_Right_ring_finger_Obl.BMP,2,151,"151, 255, 339, 343, 227",False,False
2__F_Right_ring_finger_Zcut.BMP,2,289,"289, 328, 134, 101, 119",False,False
2__F_Right_thumb_finger_CR.BMP,2,15,"15, 171, 121, 127, 138",False,False
2__F_Right_thumb_finger_Obl.BMP,2,233,"233, 285, 2, 1, 192",False,True
2__F_Right_thumb_finger_Zcut.BMP,2,267,"267, 358, 150, 107, 125",False,False
3__M_Left_index_finger_CR.BMP,3,249,"249, 202, 23, 350, 14",False,False
3__M_Left_index_finger_Obl.BMP,3,101,"101, 114, 117, 120, 122",False,False
3__M_Left_index_finger_Zcut.BMP,3,10,"10, 144, 15, 150, 178",False,False
3__M_Left_little_finger_CR.BMP,3,300,"300, 302, 352, 214, 128",False,False
3__M_Left_little_finger_Obl.BMP,3,273,"273, 101, 101, 101, 101",False,False
3__M_Left_little_finger_Zcut.BMP,3,336,"336, 114, 124, 141, 18",False,False
3__M_Left_middle_finger_CR.BMP,3,10,"10, 111, 364, 117, 15",False,False
3__M_Left_middle_finger_Obl.BMP,3,117,"117, 15, 16, 174, 211",False,False
3__M_Left_middle_finger_Zcut.BMP,3,3,"3, 240, 181, 220, 228",True,True
3__M_Left_ring_finger_CR.BMP,3,177,"177, 105, 125, 204, 209",False,False
3__M_Left_ring_finger_Obl.BMP,3,207,"207, 233, 302, 342, 178",False,False
3__M_Left_ring_finger_Zcut.BMP,3,16,"16, 168, 277, 209, 324",False,False
3__M_Left_thumb_finger_CR.BMP,3,144,"144, 178, 233, 246, 285",False,False
3__M_Left_thumb_finger_Obl.BMP,3,144,"144, 248, 257, 123, 127",False,False
3__M_Left_thumb_finger_Zcut.BMP,3,163,"163, 218, 358, 191, 3",False,True
3__M_Right_index_finger_CR.BMP,3,182,"182, 106, 152, 220, 222",False,False
3__M_Right_index_finger_Obl.BMP,3,101,"101, 114, 117, 120, 122",False,False
3__M_Right_index_finger_Zcut.BMP,3,210,"210, 301, 367, 231, 265",False,False
3__M_Right_little_finger_CR.BMP,3,224,"224, 130, 147, 320, 334",False,False
3__M_Right_little_finger_Obl.BMP,3,309,"309, 114, 154, 207, 301",False,False
3__M_Right_little_finger_Zcut.BMP,3,10,"10, 288, 32, 348, 364",False,False
3__M_Right_middle_finger_CR.BMP,3,37,"37, 371, 121, 148, 153",False,False
3__M_Right_middle_finger_Obl.BMP,3,103,"103, 139, 171, 238, 27",False,False
3__M_Right_middle_finger_Zcut.BMP,3,170,"170, 300, 106, 112, 127",False,False
3__M_Right_ring_finger_CR.BMP,3,212,"212, 3, 211, 237, 357",False,True
3__M_Right_ring_finger_Obl.BMP,3,137,"137, 243, 32, 122, 29",False,False
3__M_Right_ring_finger_Zcut.BMP,3,3,"3, 3, 276, 282, 310",True,True
3__M_Right_thumb_finger_CR.BMP,3,131,"131, 371, 105, 146, 160",False,False
3__M_Right_thumb_finger_Obl.BMP,3,105,"105, 157, 23, 230, 238",False,False
3__M_Right_thumb_finger_Zcut.BMP,3,236,"236, 118, 128, 149, 240",False,False
4__M_Left_index_finger_CR.BMP,4,193,"193, 237, 271, 343, 141",False,False
4__M_Left_index_finger_Obl.BMP,4,101,"101, 101, 101, 101, 113",False,False
4__M_Left_index_finger_Zcut.BMP,4,172,"172, 223, 253, 336, 26",False,False
4__M_Left_little_finger_CR.BMP,4,125,"125, 164, 166, 171, 23",False,False
4__M_Left_little_finger_Obl.BMP,4,25,"25, 300, 127, 119, 22",False,False
4__M_Left_little_finger_Zcut.BMP,4,200,"200, 202, 173, 116, 250",False,False
4__M_Left_middle_finger_CR.BMP,4,218,"218, 331, 204, 206, 286",False,False
4__M_Left_middle_finger_Obl.BMP,4,25,"25, 368, 326, 168, 326",False,False
4__M_Left_middle_finger_Zcut.BMP,4,100,"100, 173, 125, 133, 144",False,False
4__M_Left_ring_finger_CR.BMP,4,25,"25, 144, 153, 178, 344",False,False
4__M_Left_ring_finger_Obl.BMP,4,348,"348, 124, 182, 232, 319",False,False
4__M_Left_ring_finger_Zcut.BMP,4,269,"269, 109, 140, 158, 371",False,False
4__M_Left_thumb_finger_CR.BMP,4,138,"138, 14, 237, 248, 265",False,False
4__M_Left_thumb_finger_Obl.BMP,4,245,"245, 139, 24, 250, 316",False,False
4__M_Left_thumb_finger_Zcut.BMP,4,372,"372, 182, 350, 130, 14",False,False
4__M_Right_index_finger_CR.BMP,4,129,"129, 111, 114, 163, 185",False,False
4__M_Right_index_finger_Obl.BMP,4,156,"156, 324, 134, 328, 310",False,False
4__M_Right_index_finger_Zcut.BMP,4,156,"156, 306, 309, 15, 237",False,False
4__M_Right_little_finger_CR.BMP,4,104,"104, 112, 120, 164, 210",False,False
4__M_Right_little_finger_Obl.BMP,4,121,"121, 225, 131, 222, 25",False,False
4__M_Right_little_finger_Zcut.BMP,4,321,"321, 18, 232, 350, 112",False,False
4__M_Right_middle_finger_CR.BMP,4,101,"101, 101, 101, 101, 113",False,False
4__M_Right_middle_finger_Obl.BMP,4,144,"144, 148, 295, 351, 24",False,False
4__M_Right_middle_finger_Zcut.BMP,4,163,"163, 300, 290, 176, 188",False,False
4__M_Right_ring_finger_CR.BMP,4,111,"111, 324, 129, 151, 304",False,False
4__M_Right_ring_finger_Obl.BMP,4,212,"212, 218, 311, 343, 211",False,False
4__M_Right_ring_finger_Zcut.BMP,4,114,"114, 163, 185, 239, 24",False,False
4__M_Right_thumb_finger_CR.BMP,4,131,"131, 274, 151, 122, 235",False,False
4__M_Right_thumb_finger_Obl.BMP,4,101,"101, 114, 117, 120, 122",False,False
4__M_Right_thumb_finger_Zcut.BMP,4,360,"360, 146, 341, 348, 298",False,False
5__M_Left_index_finger_CR.BMP,5,12,"12, 125, 147, 153, 176",False,False
5__M_Left_index_finger_Obl.BMP,5,235,"235, 240, 134, 179, 199",False,False
5__M_Left_index_finger_Zcut.BMP,5,356,"356, 119, 236, 331, 262",False,False
5__M_Left_little_finger_CR.BMP,5,263,"263, 288, 106, 109, 137",False,False
5__M_Left_little_finger_Obl.BMP,5,110,"110, 290, 147, 181, 225",False,False
5__M_Left_little_finger_Zcut.BMP,5,114,"114, 146, 24, 242, 316",False,False
5__M_Left_middle_finger_CR.BMP,5,216,"216, 350, 265, 16, 199",False,False
5__M_Left_middle_finger_Obl.BMP,5,132,"132, 165, 167, 17, 191",False,False
5__M_Left_middle_finger_Zcut.BMP,5,357,"357, 16, 27, 277, 31",False,False
5__M_Left_ring_finger_CR.BMP,5,21,"21, 309, 178, 224, 142",False,False
5__M_Left_ring_finger_Obl.BMP,5,206,"206, 34, 182, 194, 206",False,False
5__M_Left_ring_finger_Zcut.BMP,5,220,"220, 232, 29, 352, 358",False,False
5__M_Left_thumb_finger_CR.BMP,5,198,"198, 277, 288, 292, 298",False,False
5__M_Left_thumb_finger_Obl.BMP,5,261,"261, 187, 140, 163, 305",False,False
5__M_Left_thumb_finger_Zcut.BMP,5,253,"253, 291, 190, 17, 187",False,False
5__M_Right_index_finger_CR.BMP,5,140,"140, 16, 244, 26, 302",False,False
5__M_Right_index_finger_Obl.BMP,5,108,"108, 188, 323, 114, 15",False,False
5__M_Right_index_finger_Zcut.BMP,5,15,"15, 154, 237, 255, 31",False,False
5__M_Right_little_finger_CR.BMP,5,32,"32, 225, 250, 305, 280",False,False
5__M_Right_little_finger_Obl.BMP,5,318,"318, 101, 101, 101, 101",False,False
5__M_Right_little_finger_Zcut.BMP,5,280,"280, 137, 275, 235, 269",False,False
5__M_Right_middle_finger_CR.BMP,5,205,"205, 245, 279, 309, 33",False,False
5__M_Right_middle_finger_Obl.BMP,5,151,"151, 238, 11, 162, 355",False,False
5__M_Right_middle_finger_Zcut.BMP,5,236,"236, 353, 118, 162, 219",False,False
5__M_Right_ring_finger_CR.BMP,5,333,"333, 357, 119, 26, 33",False,False
5__M_Right_ring_finger_Obl.BMP,5,170,"170, 206, 228, 267, 358",False,False
5__M_Right_ring_finger_Zcut.BMP,5,238,"238, 368, 126, 153, 186",False,False
5__M_Right_thumb_finger_CR.BMP,5,108,"108, 176, 219, 138, 164",False,False
5__M_Right_thumb_finger_Obl.BMP,5,12,"12, 132, 160, 236, 286",False,False
5__M_Right_thumb_finger_Zcut.BMP,5,119,"119, 236, 286, 142, 228",False,False
