=== KẾT QUẢ ĐÁNH GIÁ HỆ THỐNG (Minutiae + KD-Tree) ===
Tổng số ảnh đánh giá: 150
Top-1 Accuracy : 0.0267
Top-5 Accuracy : 0.0667
Macro Precision: 0.4000
Macro Recall   : 0.0267
Tổng thời gian : 5683.7s
TB mỗi query   : 37891.2ms

=== CHI TIẾT ===
File: 1__M_Left_index_finger_CR.BMP | True ID: 1 | Top 1: 288 | Top 5: [288, 105, 358, 234, 245] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Left_index_finger_Obl.BMP | True ID: 1 | Top 1: 369 | Top 5: [369, 205, 372, 147, 225] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Left_index_finger_Zcut.BMP | True ID: 1 | Top 1: 108 | Top 5: [108, 341, 233, 242, 132] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Left_little_finger_CR.BMP | True ID: 1 | Top 1: 141 | Top 5: [141, 217, 177, 279, 30] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Left_little_finger_Obl.BMP | True ID: 1 | Top 1: 127 | Top 5: [127, 264, 109, 215, 225] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Left_little_finger_Zcut.BMP | True ID: 1 | Top 1: 30 | Top 5: [30, 27, 318, 341, 274] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Left_middle_finger_CR.BMP | True ID: 1 | Top 1: 174 | Top 5: [174, 306, 15, 171, 31] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Left_middle_finger_Obl.BMP | True ID: 1 | Top 1: 127 | Top 5: [127, 331, 129, 271, 332] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Left_middle_finger_Zcut.BMP | True ID: 1 | Top 1: 306 | Top 5: [306, 188, 317, 110, 135] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Left_ring_finger_CR.BMP | True ID: 1 | Top 1: 165 | Top 5: [165, 221, 228, 267, 281] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Left_ring_finger_Obl.BMP | True ID: 1 | Top 1: 26 | Top 5: [26, 355, 102, 224, 336] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Left_ring_finger_Zcut.BMP | True ID: 1 | Top 1: 244 | Top 5: [244, 108, 172, 268, 2] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Left_thumb_finger_CR.BMP | True ID: 1 | Top 1: 101 | Top 5: [101, 101, 101, 101, 113] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Left_thumb_finger_Obl.BMP | True ID: 1 | Top 1: 330 | Top 5: [330, 165, 220, 248, 301] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Left_thumb_finger_Zcut.BMP | True ID: 1 | Top 1: 352 | Top 5: [352, 159, 101, 219, 239] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Right_index_finger_CR.BMP | True ID: 1 | Top 1: 244 | Top 5: [244, 29, 290, 19, 1] | Top-1 Đúng: False | Top-5 Đúng: True
File: 1__M_Right_index_finger_Obl.BMP | True ID: 1 | Top 1: 262 | Top 5: [262, 246, 296, 320, 118] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Right_index_finger_Zcut.BMP | True ID: 1 | Top 1: 331 | Top 5: [331, 213, 216, 19, 249] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Right_little_finger_CR.BMP | True ID: 1 | Top 1: 101 | Top 5: [101, 114, 117, 120, 122] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Right_little_finger_Obl.BMP | True ID: 1 | Top 1: 12 | Top 5: [12, 113, 169, 176, 189] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Right_little_finger_Zcut.BMP | True ID: 1 | Top 1: 101 | Top 5: [101, 114, 117, 120, 122] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Right_middle_finger_CR.BMP | True ID: 1 | Top 1: 110 | Top 5: [110, 129, 177, 199, 218] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Right_middle_finger_Obl.BMP | True ID: 1 | Top 1: 143 | Top 5: [143, 1, 338, 149, 161] | Top-1 Đúng: False | Top-5 Đúng: True
File: 1__M_Right_middle_finger_Zcut.BMP | True ID: 1 | Top 1: 199 | Top 5: [199, 228, 109, 122, 151] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Right_ring_finger_CR.BMP | True ID: 1 | Top 1: 106 | Top 5: [106, 168, 168, 228, 296] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Right_ring_finger_Obl.BMP | True ID: 1 | Top 1: 106 | Top 5: [106, 168, 141, 272, 319] | Top-1 Đúng: False | Top-5 Đúng: False
File: 1__M_Right_ring_finger_Zcut.BMP | True ID: 1 | Top 1: 142 | Top 5: [142, 234, 138, 159, 106] | Top-1 Đúng: False | Top-5 Đúng: False
